day,daily_pnl,cum_pnl,pc_budget,pnl_Fintech Token,pnl_Thrifted Jeans,pnl_UQ Dollar,pnl_Sausage Sizzle,pnl_Bread,pnl_MenuDash,pnl_Sausage,pnl_Liferaft Ticket,pnl_Boat Party Ticket,pos_Fintech Token,pos_Thrifted Jeans,pos_UQ Dollar,pos_Sausage Sizzle,pos_Bread,pos_MenuDash,pos_Sausage,pos_Liferaft Ticket,pos_Boat Party Ticket
132,3322.49,171951.60999999993,96.99,1741.0,-0.0,201.5,-0.0,0.0,750.0,-0.01,0.0,630.0,-100,60,0,100,25,100,-100,100,100
133,4441.96,176393.56999999992,97.0,4238.0,720.0,-0.0,90.0,63.96,1500.0,-200.0,0.0,-1970.0,100,0,100,89,0,-100,0,100,100
134,-3111.96,173281.60999999993,96.99,-1622.0,-1.14,104.0,187.18,-0.0,-1500.0,-0.0,0.0,-280.0,100,60,0,-100,27,-100,-100,100,100
135,-995.84,172285.76999999993,96.98,-2057.0,72.0,0.0,570.0,-180.84,-0.0,50.0,0.0,550.0,100,60,0,-100,-39,-100,-100,100,-100
136,-701.57,171584.19999999992,97.0,-1305.0,-412.8,-0.0,420.0,116.23,-0.0,100.0,0.0,380.0,100,30,100,-100,0,-100,0,100,-100
137,3004.79,174588.98999999993,97.0,-391.0,1139.82,546.0,300.0,0.0,750.0,-0.03,0.0,660.0,100,49,-100,100,0,-100,0,100,100
138,-1973.3,172615.68999999994,97.0,-4317.0,-933.78,617.5,30.0,-0.0,2250.0,-0.02,0.0,380.0,100,48,100,-100,0,100,0,100,-100
139,1725.35,174341.03999999995,97.0,-506.0,681.45,130.0,90.0,0.0,1500.0,-0.1,0.0,-170.0,100,60,0,-100,-43,-100,-100,100,-100
140,-733.98,173607.05999999994,97.0,-1828.0,-2035.2,-0.0,-30.0,49.22,3000.0,250.0,0.0,-140.0,100,54,100,-100,0,100,0,100,-100
141,2012.42,175619.47999999995,97.0,-608.0,-499.1,539.5,210.0,-0.0,2250.0,0.02,0.0,120.0,100,60,-100,-100,0,-100,-9,-100,100
142,440.88,176060.35999999996,97.0,-2264.0,504.0,702.0,240.0,0.0,750.0,8.88,0.0,500.0,100,49,100,100,0,100,0,100,-100
143,1207.31,177267.66999999995,97.0,-1571.0,-70.2,58.5,240.0,0.0,1500.0,0.01,0.0,1050.0,100,60,100,100,0,-100,-12,-100,100
144,366.05,177633.71999999994,97.0,-1257.0,705.6,39.0,240.0,0.0,750.0,18.45,0.0,-130.0,100,46,100,100,0,-100,0,100,100
145,465.28,178098.99999999994,97.0,-381.0,-979.16,695.5,90.0,-0.0,750.0,-0.06,0.0,290.0,100,16,-100,-100,0,100,0,100,-100
146,-2060.02,176038.97999999995,97.0,-2875.0,7.56,747.5,120.0,0.0,750.0,-0.08,0.0,-810.0,100,46,100,100,0,-100,0,100,-100
147,-1450.6,174588.37999999995,97.0,-668.0,148.4,169.0,240.0,0.0,-0.0,0.0,0.0,-1340.0,100,8,100,100,0,-100,0,100,-100
148,-1449.92,173138.45999999993,97.0,-1709.0,47.58,-448.5,180.0,-0.0,1500.0,-0.0,0.0,-1020.0,100,0,100,-97,0,100,0,100,-100
149,766.7,173905.15999999995,97.0,-1883.0,0.0,1170.0,289.7,0.0,750.0,-0.0,0.0,440.0,100,8,-100,-100,0,-100,0,100,-100
150,4031.24,177936.39999999994,97.0,-463.0,419.74,864.5,240.0,0.0,3000.0,0.0,0.0,-30.0,100,37,100,100,0,100,0,100,100
151,-746.48,177189.91999999993,97.0,-730.0,593.02,110.5,360.0,0.0,-750.0,-0.0,0.0,-330.0,100,55,100,100,0,100,0,100,100
152,-1199.68,175990.23999999993,97.0,-1850.0,807.76,-357.5,240.0,0.0,0.0,0.06,0.0,-40.0,100,60,100,-100,0,100,-18,100,100
153,542.61,176532.84999999992,97.0,-1700.0,974.4,117.0,-120.0,0.0,1500.0,-8.79,0.0,-220.0,100,60,100,100,0,100,-34,100,100
154,-4904.21,171628.63999999993,97.0,-1866.0,868.8,286.0,240.0,-0.0,-750.0,16.99,0.0,-3700.0,100,60,100,-100,0,100,-73,-100,100
155,2386.48,174015.11999999994,96.98,236.0,1492.8,117.0,120.0,0.0,750.0,-109.32,0.0,-220.0,100,60,0,100,95,100,100,-100,100
156,222.4,174237.51999999993,97.0,-653.0,-432.0,-0.0,660.0,-642.6,1500.0,0.0,0.0,-210.0,100,60,100,-100,0,100,49,-100,100
157,5474.5,179712.01999999993,97.0,3891.0,1478.4,-78.0,300.0,0.0,0.0,123.1,0.0,-240.0,-100,60,100,100,0,100,0,-100,100
158,2184.44,181896.45999999993,97.0,929.0,-1854.64,130.0,390.0,0.0,2250.0,0.08,0.0,340.0,-100,60,0,100,47,-100,100,-100,-100
159,-1700.28,180196.17999999993,96.98,-1637.0,1948.8,0.0,480.0,37.92,-2250.0,0.0,0.0,-280.0,-100,60,0,100,24,-100,100,100,-100
